username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
ambazaarmag,11/17/16 15:55,0,0,No,,,,,
SHANKARSATHE2,11/17/16 15:54,0,2,@meamabhishek Sorry. But u can't imagine how many killings by terrorists,,,,,
thevoiceoftrust,11/17/16 15:51,1,0,Demonetization : Rahul Gandhi meets street vendors for ground feedback http:// voiceoftrust.in/demonetization -rahul-gandhi-meets-street-vendors-for-ground-feedback/ â€_ pic.twitter.com/7jIXojCECi,,,,7.99399E+17,https://twitter.com/thevoiceoftrust/status/799399476700004352
BasuAshis,11/17/16 15:49,2,0,#Demonetization in India opened a pandora's box exposing inefficiencies of the banking system- @rimin : http://www. huffingtonpost.in/2016/11/17/thi s-atm-company-serving-rural-india-hasn-t-seen-any-cash-for-ov/?utm_hp_ref=in-homepage â€_ Time up Modi!,,@rimin,#Demonetization,7.99399E+17,https://twitter.com/BasuAshis/status/799399174424985600
prabhoopatel,11/17/16 15:48,0,0,Mind blowing Response from International Media to demonetization ! It will shut the Mouth of Opposition! http:// ln.is/indiaarising.c om/o5F9r â€_,,,,7.99399E+17,https://twitter.com/prabhoopatel/status/799398834313056256
coinstories,11/17/16 15:45,0,0,India's demonetization drive could boost bitcoin prices http:// bit.ly/2fXZznZ,,,,7.99398E+17,https://twitter.com/coinstories/status/799398188071452672
DrBhava,11/17/16 15:44,0,1,@Janamejayan BJP leaders expect Dr. @Swamy39 jee to speak only of Strengths & not SWOT analysis of Demonetization plz. @nviswam @kanimozhi,,@Janamejayan @Swamy39 @nviswam @kanimozhi,,7.99398E+17,https://twitter.com/DrBhava/status/799397908499951616
akbagaria,11/17/16 15:40,0,0,demonetization : UP man gets help from everyone for his daughter wedding à_¨à¥‹à_Ÿà_¬à_‚à__à¥€ à_®à¥‡à_‚ à_èà_•à__à__ à_•à¥€ à_® http://www. empowr.com/ashokbagaria?p =8R9A â€_ pic.twitter.com/cJkiuQq1lU,,,,7.99397E+17,https://twitter.com/akbagaria/status/799396752101019648
DrBhava,11/17/16 15:39,2,1,@nviswam Narayan - Kindly read SWOT analysis of the #demonetization move plz. http://www. opindia.com/2016/11/swot-a nalysis-of-the-demonetisation-move/ â€_ @Swamy39,,@nviswam @Swamy39,#demonetization,7.99396E+17,https://twitter.com/DrBhava/status/799396497204748288
Geo_Smith36,11/17/16 15:33,1,1,@padmakumarnair @DilliDurAst @HuffPostIndia any death with an old note in wallet anywhere in the world is bcoz of demonetization .,,@padmakumarnair @DilliDurAst @HuffPostIndia,,7.99395E+17,https://twitter.com/Geo_Smith36/status/799395086731612164
LetsTalkPaymnts,11/17/16 15:30,0,0,The current #Indian #Currency Demonetization is not a tectonic change by itself http:// buff.ly/2eEiciP pic.twitter.com/2kJtcJ7c6K,,,#Indian #Currency,7.99394E+17,https://twitter.com/LetsTalkPaymnts/status/799394193575673857
Janamejayan,11/17/16 15:24,7,8,Since partition seculars politicians have developed a network of voters who vote for money. The same guys do the demonetization exchange.,,,,7.99393E+17,https://twitter.com/Janamejayan/status/799392895778361344
JaspalKaur7,11/17/16 15:24,0,0,Digital Payments Gain On Indiaâ€™s Currency Demonetization http://www. investopedia.com/news/digital-p ayments-gain-indias-currency-demonetization?utm_source=twitter&utm_medium=social&utm_campaign=shareurlbuttons â€_ via @investopedia #Demonitization,,@investopedia,#Demonitization,7.99393E+17,https://twitter.com/JaspalKaur7/status/799392715142144000
natashachauhan,11/17/16 15:22,0,0,Overheard: Congress ka dhai saal ka demonetization plan tha. Isne overnight kar diya. https:// twitter.com/sush091979/sta tus/798812468248080384 â€_,,,,7.99392E+17,https://twitter.com/natashachauhan/status/799392368730378240
VasanthanVas,11/17/16 15:21,0,0,I added a video to a @YouTube playlist http:// youtu.be/q22lCMW_vBM?a Matters That Matter (MTM) - Episode 01 - Demonetization (with English,,@YouTube,,7.99392E+17,https://twitter.com/VasanthanVas/status/799392156284846081
AkuduBright,11/17/16 15:21,0,0,Best Analysis of the Demonetization of money by Narendra Modi http://www. akufantasy.com/2016/11/14/bes t-analysis-of-the-demonetization-of-money-by-narendra-modi/ â€_,,,,7.99392E+17,https://twitter.com/AkuduBright/status/799391998105022464
rangoosrinivas,11/17/16 15:20,0,0,G+: Demonetization of Rs 500 and Rs 1,,,,,
JaspalKaur7,11/17/16 15:20,0,0,Demonetization to destroy illegal money worth $50 billion,,,,,
rameem81,11/17/16 15:20,6,4,MUST WATCH How Demonetization has hit tourists in India ... #ChhuttaDeDeReModi pic.twitter.com/LtudHsIlqV,,,#ChhuttaDeDeReModi,7.99392E+17,https://twitter.com/rameem81/status/799391729296101376
manojsirsa,11/17/16 15:20,0,0,#Demonetization : 2500 petrol pumps to dispense cash up to Rs 2,,,,,
JaspalKaur7,11/17/16 15:18,0,0,Demonetization laudable,,,,,
NewslinerIndia,11/17/16 15:12,0,0,'Money ki Baat' - Congress plans drive against demonetization http:// dlvr.it/MhGHnB pic.twitter.com/QWnR4RaA8S,,,,7.9939E+17,https://twitter.com/NewslinerIndia/status/799389683780173824
NewslinerIndia,11/17/16 15:12,0,0,Demonetization : Rahul Gandhi meets street vendors for ground feedback http:// dlvr.it/MhGHfZ pic.twitter.com/OEoqFHttuc,,,,7.9939E+17,https://twitter.com/NewslinerIndia/status/799389666914881541
AKBAR123786,11/17/16 15:11,1,0,Make India Great Again. #Trending #BLACKMONEY #Demonetization #MODI #NarendraModi #BJP #CONGRESS #AAP ... http:// fb.me/EaZYnWE2,,,#Trending #BLACKMONEY #Demonetization #MODI #NarendraModi #BJP #CONGRESS #AAP,7.9939E+17,https://twitter.com/AKBAR123786/status/799389544361562112
ThankyouMODIJi,11/17/16 15:10,0,0,#Demonetization ko 84% log support kar rahe hai.... Yaha mahaj 30% logo k support se sarkar ban jaati hai...,,,#Demonetization,7.99389E+17,https://twitter.com/ThankyouMODIJi/status/799389179687731200
JaspalKaur7,11/17/16 15:10,0,0,It's a great move by PM Narendra Modi: Virat Kohli on demonetization http:// dnai.in/dEYe via @dna #Demonitization,,@dna,#Demonitization,7.99389E+17,https://twitter.com/JaspalKaur7/status/799389177959747585
JaspalKaur7,11/17/16 15:07,0,0,Demonetization to dampen real estate demand,,,,,
dwnews,11/17/16 15:03,34,19,#India #Demonetization Indians are queuing for cash. @LailaHarrak and @CarlNasman explain how people have been voicing their frustration. pic.twitter.com/rO2v1T0zlq,,@LailaHarrak @CarlNasman,#India #Demonetization,7.99388E+17,https://twitter.com/dwnews/status/799387506991054848
SavantVasumati,11/17/16 14:56,0,0,We all will remember 8 November demonetization of the Rs500 and Rs1,,,,,
RajivDalmia78,11/17/16 14:52,0,0,Demonetization of Rs 500 and Rs 1,,,,,
VasanthanVas,11/17/16 14:49,0,0,I liked a @YouTube video http:// youtu.be/q22lCMW_vBM?a Matters That Matter (MTM) - Episode 01 - Demonetization (with English Subtitles),,@YouTube,,7.99384E+17,https://twitter.com/VasanthanVas/status/799384027635453952
NewsInTweetsIn,11/17/16 14:49,0,0,Livemint: Consequences of the demonetization shock http:// bit.ly/2g0Dhld : @livemint Consequences ofâ€_ http:// dlvr.it/MhG0n7 #NewsInTweets pic.twitter.com/7OfLj6uhwe,,@livemint,#NewsInTweets,7.99384E+17,https://twitter.com/NewsInTweetsIn/status/799384010522693632
4xmg,11/17/16 14:43,0,0,History will see the current demonetization as the worst event in the history of post-colonial India. @YuvalG WDYT? http://www. zerohedge.com/news/2016-11-1 6/stunning-scenes-panic-gold-price-skyrockets-india-after-currency-ban â€_,,@YuvalG,,7.99383E+17,https://twitter.com/4xmg/status/799382502410485760
iammohitk,11/17/16 14:42,0,0,I liked a @YouTube video http:// youtu.be/_1y_NsjaREQ?a KAAGAZ | Sonu Nigam | Demonetization & Black Money | Better Tomorrow,,@YouTube,,7.99382E+17,https://twitter.com/iammohitk/status/799382312223789056
allthenewsindia,11/17/16 14:34,0,0,Parliament paralysed over demonetization ; Jaitley refuses rollback - Daily News &â€_ http:// news.google.com/news/url?sa=t& fd=R&ct2=in&usg=AFQjCNHsYGcuP4RManGVx8nCoLWwhRkp9g&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779273933212&ei=ZzAuWMCNOs--uQKuobKQCg&url=http%3A%2F%2Fwww.dnaindia.com%2Findia%2Freport-parliament-paralysed-over-demonetization-jaitley-refuses-rollback-2274495&utm_source=dlvr.it&utm_medium=twitter â€_ #wnn7 http:// wnn7.com pic.twitter.com/xouWXLQFG5,,,#wnn7,7.9938E+17,https://twitter.com/allthenewsindia/status/799380233166016512
TechnoSinkara,11/17/16 14:31,0,2,@HinduJagoran @hindustanse @PMOIndia there are N no of ways What worked for this Demonetization was element of surprise,,@HinduJagoran @hindustanse @PMOIndia,,7.9938E+17,https://twitter.com/TechnoSinkara/status/799379517072515072
IndiaWest,11/17/16 14:30,1,0,MEA Provides No Answers to NRIs,,,,,
cryptinsight,11/17/16 14:29,0,0,à_ªà__à__à__ à__à¥‡à_¶ à_œà¥‹ à_œà__à_°à¥€ à_•à_°à¥‡à_—à__ à_ˆ-à_•à_°à¥‡à_‚à_¸à¥€,,,,,
livemint,11/17/16 14:29,4,2,Consequences of the demonetization shock http:// bit.ly/2g0Dhld,,,,7.99379E+17,https://twitter.com/livemint/status/799379025902772224
naveennarayan,11/17/16 14:27,0,0,Demonetization in India: Who Will Pay the Price? - Knowledge@Wharton https:// lnkd.in/fEyxNkx,,@Wharton,,7.99378E+17,https://twitter.com/naveennarayan/status/799378383197061120
pstanpolitics,11/17/16 14:25,0,1,Demonetization deflates claims of black money,,,,,
InnovativeHindu,11/17/16 14:18,1,1,Breaking : Right after demonetization ,,,,,
AAP_London,11/17/16 14:18,0,0,Watch Delhi CM Arvind Kejriwal full speech at Azadpur Mandi on the issue of Demonetization and BJP's Cash Scam http:// youtu.be/972eOUZmJrA?a,,,,7.99376E+17,https://twitter.com/AAP_London/status/799376228520108032
SJVatsal,11/17/16 14:17,0,0,Demonetization | This is a new Indian sunrise http://www. dnaindia.com/analysis/colum n-this-is-a-new-indian-sunrise-2273153 â€_ ( #Modi #India #BJP ) pic.twitter.com/5RbWWmxiiV,,,#Modi #India #BJP,7.99376E+17,https://twitter.com/SJVatsal/status/799376010965725184
No1PaydayLoans,11/17/16 14:16,0,0,Cash-dominated microfinance sector reels under demonetization stress http:// dlvr.it/MhFYNf,,,,7.99376E+17,https://twitter.com/No1PaydayLoans/status/799375582668550145
SJVatsal,11/17/16 14:14,0,0,Demonetization of Rs 500 and Rs 1,,,,,
ceo_dentsurg,11/17/16 14:11,0,0,It's a fools idea to stand in the line for hours and hours get inked and think that he is doing something for Black Money #demonetization .,,,#demonetization,7.99375E+17,https://twitter.com/ceo_dentsurg/status/799374521404768256
SonaChele1,11/17/16 14:10,2,3,When @NitishKumar used2even fart,,,,,
newsinvids,11/17/16 14:10,0,0,Demonetization Is ILLEGAL Accuses Manish Tiwari http:// dlvr.it/MhFTqz #NewsInVidsIndia pic.twitter.com/8JSDowkhf4,,,#NewsInVidsIndia,7.99374E+17,https://twitter.com/newsinvids/status/799374100464484352
newsinvids,11/17/16 14:10,0,0,Amit Shah SLAMS Congress Over Demonetization Storm | Full Speech http:// dlvr.it/MhFTjs #NewsInVidsIndia pic.twitter.com/6YGIarLQFK,,,#NewsInVidsIndia,7.99374E+17,https://twitter.com/newsinvids/status/799374087415951360
ranjivk59,11/17/16 14:09,1,0,Condescending view of transformative change by yet another bigot! Stick to sports,,,,,
ceo_dentsurg,11/17/16 14:09,0,0,#demonetization is the greatest blunder commited in India since Independence.,,,#demonetization,7.99374E+17,https://twitter.com/ceo_dentsurg/status/799373945971429376
ceo_dentsurg,11/17/16 14:07,0,0,@BDUTT it's a fools proposition to link Kashmir issue to demonetization .Hyped up patriotism to demonize people period,,@BDUTT,,7.99374E+17,https://twitter.com/ceo_dentsurg/status/799373533927223297
pramod_giri,11/17/16 14:06,0,0,Retweeted Prashant Jha ( @prashantktm ): Voices from the ground in UP - on #demonetization . Women complain,,,,,
khan94411058,11/17/16 14:05,0,0,Brave-heart Woman slams Modi for demonetization as economic disaster | Rs 500 & Rs 1000 currency ban https:// youtu.be/d6ievhEdIIk,,,,7.99373E+17,https://twitter.com/khan94411058/status/799372935463059457
raghunk,11/17/16 13:50,0,7,"My comment on a FB post by a friend on demonetization of old Rs. 1000 and 500 notes are reproduced here. The... http:// fb.me/5up6tE9rb""",,,,7.99369E+17,https://twitter.com/raghunk/status/799369130444996608
onlinegamblingo,11/17/16 13:47,0,0,Indiaâ€™s Legal Online Gaming Will Benefit From Currency Demonetization - http:// go.shr.lc/2eL6vXN via @Shareaholic,,@Shareaholic,,7.99368E+17,https://twitter.com/onlinegamblingo/status/799368476720709632
TamilAlayam,11/17/16 13:47,0,1,Nerpada Pesu 17-11-2016 Demonetization â€“ What do the relaxations imply?... http:// fb.me/6PTifuHPC,,,,7.99368E+17,https://twitter.com/TamilAlayam/status/799368418742784000
EagleStarNET,11/17/16 13:46,2,2,India's demonetization plan is hurting micro-finance firms that lend to its poor http:// dld.bz/ffHw5,,,,7.99368E+17,https://twitter.com/EagleStarNET/status/799368248059949056
WorldMFnews,11/17/16 13:44,0,0,Cash-dominated microfinance sector reels under demonetization stress - Livemint http:// dlvr.it/MhF8Gd,,,,7.99368E+17,https://twitter.com/WorldMFnews/status/799367535388803072
VishalDadlani,11/17/16 13:41,281,349,"47 Demonetization -deaths in 1 week. Sacrifice for India""? Why not sacrifice secrecy of political funds? Bring political parties under RTI.""",,,,7.99367E+17,https://twitter.com/VishalDadlani/status/799366875641679872
MadhupMohta,11/17/16 13:41,0,0,The Indian Medical Association has weighed the demonetization high value notes and this is what they have to say:... http:// fb.me/5fWAgJ4TV,,,,7.99367E+17,https://twitter.com/MadhupMohta/status/799366860965675008
BhaiyaDaraganji,11/17/16 13:40,0,0,7712 COMIC CONSEQUENCES OF 2016 BIG CURRENCY DEMONETIZATION IN INDIA CAUSING CASH CRUNCH & LONG QUEUES IN BANKS https://www. facebook.com/AjabGjab/photo s/a.166606496869122.1073741825.166579943538444/558951157634652/?type=3 â€_,,,,7.99367E+17,https://twitter.com/BhaiyaDaraganji/status/799366609777217537
ranjivk59,11/17/16 13:39,0,0,While short term effects are negative,,,,,
thaiparampil,11/17/16 13:38,0,0,Revoke demonetization in 3 days or face revolt: Mamata,,,,,
indiacom,11/17/16 13:36,0,1,#Demonetization â€˜decision of the centuryâ€™,,,,,
SrikanthTiwari,11/17/16 13:36,0,0,Sonu Nigam came up in support of demonitization,,,,,
abhinav922,11/17/16 13:33,1,0,Demonetization is a historic and bold step towards #TransformingIndia ,,,,,
NextBillionFI,11/17/16 13:30,0,0,After #India #demonetization ,,,,,
pulki_bushu,11/17/16 13:23,0,1,Demonetization in India: Who Will Pay the Price? http:// ln.is/wharton.upenn. edu/Km2e1 â€_,,,,7.99362E+17,https://twitter.com/pulki_bushu/status/799362340936421376
suri_dheeraj,11/17/16 13:19,0,0,We LIKE the demonetization policy! Whats wrong with u? Atleast take a consensus within ur state before u start a rant! #arvindkejriwal,,,#arvindkejriwal,7.99361E+17,https://twitter.com/suri_dheeraj/status/799361319501635588
firozeshakir,11/17/16 13:18,0,0,DeMonetization Good Bad Or Ugly Time Will Tell: http:// youtu.be/JXPyVrtGp4k?a via @YouTube,,@YouTube,,7.99361E+17,https://twitter.com/firozeshakir/status/799361091600060416
firozeshakir,11/17/16 13:18,0,0,DeMonetization Good Bad Or Ugly Time Will Tell: http:// youtu.be/JXPyVrtGp4k?a via @YouTube,,@YouTube,,7.99361E+17,https://twitter.com/firozeshakir/status/799361082989027328
AJAY_ACCENT,11/17/16 13:16,0,1,@PMOIndia shd share with ppl how demonetization is choking Terrorist,,,,,
RituAnand51,11/17/16 13:14,0,0,Mind blowing Response from International Media to demonetization ! It will shut the Mouth of Opposition! http:// indiaarising.com/mind-blowing-r esponse-international-media-demonetization-will-shut-mouth-opposition/ â€_,,,,7.9936E+17,https://twitter.com/RituAnand51/status/799360169326981120
AJAY_ACCENT,11/17/16 13:14,0,1,Lets try our best to help govt to implement the demonetization . It will choke the Terrorist,,,,,
ShivakumarMB,11/17/16 13:12,0,1,What can be expected if these kinda elected morons say such things with anti demonetization strategy other than a #à__à_¡à__à_ªà__à___à__à__à_°à__ !! https:// twitter.com/TajinderBagga/ status/799351414262640640 â€_,,,#à__à_¡,7.9936E+17,https://twitter.com/ShivakumarMB/status/799359508950589441
livleymasood,11/17/16 13:11,0,0,Banker Writes A Moving Facebook Post Showing The Effects Of Demonetization In Rural India http:// fb.me/2UNq5Crhi,,,,7.99359E+17,https://twitter.com/livleymasood/status/799359395725312000
WithCongAndhra,11/17/16 13:08,3,1,Even BJP veterans aren't convinced by the government's demonetization policy! https://www. thequint.com/currency-ban/2 016/11/17/demonetisation-rs-500-1000-notes-currency-ban-pm-modi-criticsed-by-arun-shourie â€_,,,,7.99359E+17,https://twitter.com/WithCongAndhra/status/799358528339050497
patni_hitesh,11/17/16 13:07,0,0,Must Watch Interview to understand Demonetization http:// fb.me/1ylwRFxqZ,,,,7.99358E+17,https://twitter.com/patni_hitesh/status/799358437628919808
Tubetamil,11/17/16 13:04,0,0,Nerpada Pesu 17-11-2016 Demonetization â€“ What do the relaxations imply? http://www. tubetamil.com/tamil-tv-shows /puthiya-thalaimurai-tamil-tv-shows/nerpada-pesu-17-11-2016-demonetization-what-do-the-relaxations-imply.html â€_,,,,7.99358E+17,https://twitter.com/Tubetamil/status/799357669027020800
Financeshow,11/17/16 13:01,0,0,India's demonetization plan is hurting micro-finance firms that lend to its poor - Quartz http:// dlvr.it/MhDWv5,,,,7.99357E+17,https://twitter.com/Financeshow/status/799356752634331136
newsinvids,11/17/16 12:59,0,0,Government Is Ready To Debate Demonetization Confirms Venkaiah Naidu http:// dlvr.it/MhDVv2 #NewsInVidsIndia pic.twitter.com/f64ym4fTZP,,,#NewsInVidsIndia,7.99356E+17,https://twitter.com/newsinvids/status/799356228430245888
Pradeep28bh,11/17/16 12:58,0,0,First Headmasters Son Now Kallu MCD Saala Papi pet ka sawal hai. Effect of Demonetization is seen in the Valley & Lyutens Delhi. https:// twitter.com/BDUTT/status/7 98905056036696064 â€_,,,,7.99356E+17,https://twitter.com/Pradeep28bh/status/799355965887971328
Tamil1947,11/17/16 12:53,0,1,@nitinsachdeva22 IMO the smokescreen reasons given for demonetization may not be what it is done really for. @_YogendraYadav,,@nitinsachdeva22 @_YogendraYadav,,7.99355E+17,https://twitter.com/Tamil1947/status/799354868779466752
its_harishpatel,11/17/16 12:52,1,0,#IAmWithModi What you think about demonetization,,,#IAmWithModi,7.99355E+17,https://twitter.com/its_harishpatel/status/799354669852020736
kandelnirmal,11/17/16 12:49,1,1,"#worth #Reading Other side of the #coin "" #demonetization Poorly executed good plan http://www. rajnikantvscidjokes.in/bankers-facebo ok-post-rural-banks-condition-will-make-cry-demonetization/ â€_""",,,#worth #Reading #coin #demonetization,7.99354E+17,https://twitter.com/kandelnirmal/status/799353741489172480
Tamil1947,11/17/16 12:48,1,2,"@DilliDurAst @MehekF It may be interesting & worth checking who sold out big volumes before the surprise"" demonetization . Or bought PSBs.""",,@DilliDurAst @MehekF,,7.99354E+17,https://twitter.com/Tamil1947/status/799353597397843968
ranchor10,11/17/16 12:47,0,0,Demonetization of Rs 500 and Rs 1,,,,,
NewsBossIndia,11/17/16 12:46,0,0,Barter system saves East UP villages from post- demonetization blues.. http:// newsboss.in/ly/oxCVae,,,,7.99353E+17,https://twitter.com/NewsBossIndia/status/799352998077943811
allthenewsindia,11/17/16 12:46,0,0,DNA Evening Must Reads: Latest uproar over demonetization ,,,,,
rizwanalam14,11/17/16 12:43,0,0,where ravish speaks hindi in NRI style - funny and sarcastic at 22:00 l http://www. ndtv.com/video/shows/pr ime-time/agony-of-women-of-khoda-village-after-currency-ban-438990?video-top-shows â€_ #demonetization,,,#demonetization,7.99352E+17,https://twitter.com/rizwanalam14/status/799352355997306881
EconomyWrld,11/17/16 12:43,1,2,India's demonetization plan is hurting micro-finance firms that lend to its poor - Quartz https:// goo.gl/GJfEqZ pic.twitter.com/WhqSJHWTeb,,,,7.99352E+17,https://twitter.com/EconomyWrld/status/799352217576669184
marciomtc,11/17/16 12:37,0,0,Bill Gates appreciated demonetization decision... http:// dlvr.it/MhDCk7,,,,7.99351E+17,https://twitter.com/marciomtc/status/799350687519764480
cinevedika,11/17/16 12:36,0,0,Demonetization Effect: KCR Upset With Kavitha? - http://www. cinevedika.net/news/demonetiz ation-effect-kcr-upset-with-kavitha/ â€_ pic.twitter.com/xYznJEe0pr,,,,7.99351E+17,https://twitter.com/cinevedika/status/799350583568240640
Revive_Realize,11/17/16 12:31,1,1,I salute fellow brothers and sisters of India. Your commitment and solidarity towards demonetization appreciable. (people at BANK/ATM Qs) pic.twitter.com/hAjIVCYJlk,,,,7.99349E+17,https://twitter.com/Revive_Realize/status/799349322659860480
VarunOmkar9,11/17/16 12:30,0,0,I liked a @YouTube video http:// youtu.be/_1y_NsjaREQ?a KAAGAZ | Sonu Nigam | Demonetization & Black Money | Better Tomorrow,,@YouTube,,7.99349E+17,https://twitter.com/VarunOmkar9/status/799348933931757568
dna,11/17/16 12:30,4,13,PM Modi's demonetization could end up as 'costly political joke': Chinese media http:// dnai.in/dF7F,,,,7.99349E+17,https://twitter.com/dna/status/799348897990791168
gadgetsnow,11/17/16 12:30,2,1,Facebook hails Indian government's demonetization move http://www. gadgetsnow.com/tech-news/Face book-hails-Indian-governments-demonetization-move/articleshow/55476483.cms â€_ pic.twitter.com/2V9WViQjXZ,,,,7.99349E+17,https://twitter.com/gadgetsnow/status/799348895226601473
aashishkohli25,11/17/16 12:28,0,0,Villager girl marriage and Demonetization effect in Jammu border: http:// youtu.be/XZjS3lwD4i0?a via @YouTube,,@YouTube,,7.99348E+17,https://twitter.com/aashishkohli25/status/799348495006085120
sahilkhurana09,11/17/16 12:26,0,0,RT prashantktm: Voices from the ground in UP - on #demonetization . Women complain,,,,,
curvesinth,11/17/16 12:25,0,0,Popular Right Now - Thailand : KAAGAZ | Sonu Nigam | Demonetization & Black Money | Betterâ€_ https:// goo.gl/fb/lcrdD3,,,,7.99348E+17,https://twitter.com/curvesinth/status/799347848861143041
BJPOC,11/17/16 12:24,0,0,Immediate Effects of Demonetization Which The Media is Hiding From You! http:// fb.me/5x8YuRKcS,,,,7.99348E+17,https://twitter.com/BJPOC/status/799347588944138240
newsinvids,11/17/16 12:24,0,0,Rajnath Singh Chairs Meet To Review Demonetization 's Impact On Terror http:// dlvr.it/MhD1r1 #NewsInVidsIndia pic.twitter.com/kWguQXK7DE,,,#NewsInVidsIndia,7.99347E+17,https://twitter.com/newsinvids/status/799347441652756480
IndiaBTL,11/17/16 12:22,40,26,Bill Gates lauds @narendramodi govtâ€™s demonetization move http:// economictimes.indiatimes.com/articleshow/55 465263.cms?utm_source=contentofinterest&utm_medium=text&utm_campaign=cppst â€_ Every sane voice is backing Modi,,,,,
postcolonialist,11/17/16 12:22,0,1,@arungiri @MisaBharti but @sardesairajdeep claims that demonetization is a big win in UP!,,@arungiri @MisaBharti @sardesairajdeep,,7.99347E+17,https://twitter.com/postcolonialist/status/799346986533191680
ashishtandony2k,11/17/16 12:22,0,0,I liked a @YouTube video http:// youtu.be/hjbv9fBIanQ?a Gurudev Sri Sri Ravi Shankar Speaks on the Demonetization Call by PM Narendra Modi |,,@YouTube,,7.99347E+17,https://twitter.com/ashishtandony2k/status/799346924247719937
mediathugs,11/17/16 12:21,0,0,Demonetization of Rs 500 and Rs 1,,,,,
Rising_Kashmir,11/17/16 12:21,2,2,GoI moves SC to stay proceedings against demonetization http:// fb.me/4IPFSIqzG,,,,7.99347E+17,https://twitter.com/Rising_Kashmir/status/799346752419598336
princelySid,11/17/16 12:19,0,0,Insights on the psychology of cash money â€“ Demonetization vs Financial Inclusion http:// nitibhan.com/2016/11/17/ins ights-on-the-psychology-of-cash-money-demonetization-vs-financial-inclusion/ â€_ #todaysreads,,,#todaysreads,7.99346E+17,https://twitter.com/princelySid/status/799346318686699521
ppurva,11/17/16 12:19,72,54,#Demonetization Somebody pushes you into water,,,,,
skumarth,11/17/16 12:17,0,2,He openly compared Pakistan's Uri attack with demonetization and tried to glorify pakistan https:// twitter.com/nareshforpeopl e/status/799212423471210497 â€_,,,,7.99346E+17,https://twitter.com/skumarth/status/799345728787218432
bhaveshsingh615,11/17/16 12:16,0,0,KAAGAZ | Sonu Nigam | Demonetization & Black Money | Better Tomorrow https:// youtu.be/_1y_NsjaREQ via @YouTube,,@YouTube,,7.99345E+17,https://twitter.com/bhaveshsingh615/status/799345462193037312
NextBillionFI,11/17/16 12:15,0,0,"Could #India 's #demonetization wash away years of... carefully cultivated strategies to save among women""? http:// bit.ly/2fZICrs #finance pic.twitter.com/qQ0vLPd2Cg""",,,#India #demonetization #finance,7.99345E+17,https://twitter.com/NextBillionFI/status/799345115861053441
crcapitalism,11/17/16 12:13,0,1,Demonetization India: Did Modi Govt. Help Adani,,,,,
bankinformer,11/17/16 12:13,0,0,Sensex,,,,,
mufflrman,11/17/16 12:11,2,4,Me ~ Govt ne #demonetization ki koi planning nhi ki thi. Bhakt ~ huh.. ye koi dange hain kya jo planning karte. Dange ki karte hain.,,,#demonetization,7.99344E+17,https://twitter.com/mufflrman/status/799344301096529920
Manesha76,11/17/16 12:11,0,1,Demonetization of Rs 500 and Rs 1,,,,,
Oonattu,11/17/16 12:11,0,0,Breaking : Right after demonetization ,,,,,
Rising_Kashmir,11/17/16 12:10,1,1,Opposition paralyses Parliament over demonetization http:// fb.me/8fasOH7hY,,,,7.99344E+17,https://twitter.com/Rising_Kashmir/status/799344020988325888
chinmayshrotri,11/17/16 12:09,0,0,One of the few articles about demonetization in India,,,,,
PercyBillimoria,11/17/16 12:08,0,0,26 Immdiate Effects of Demonetization Which The Media is Hiding From You! - Jagruk Bharat http:// fb.me/3VHvpArVI,,,,7.99344E+17,https://twitter.com/PercyBillimoria/status/799343545907675136
edwinsequeira,11/17/16 12:06,0,0,Enough cases now to necessitate a probe into insider knowledge of #demonetization . 1. The west bengal #BJP ... http:// fb.me/7uRu7DrO8,,,#demonetization #BJP,7.99343E+17,https://twitter.com/edwinsequeira/status/799342925087797248
NiritBraun,11/17/16 12:05,0,0,With demonetization ,,,,,
BinitaSahibabad,11/17/16 12:01,0,0,#India #World Parliament paralysed over demonetization ; Jaitley refuses rollback http:// ln.is/indilens.com/z XhQb â€_,,,#India #World,7.99342E+17,https://twitter.com/BinitaSahibabad/status/799341818957746176
MendelMendel,11/17/16 12:01,0,0,Social media backlash forces Paytm to take down ad targeting India's demonetization http:// ow.ly/ES5F506tMMD,,,,7.99342E+17,https://twitter.com/MendelMendel/status/799341804047003648
WillRavi13,11/17/16 12:01,0,1,ill cashless outside but still happy welcome demonetization thanks to PM for another surgical strike,,,,7.99342E+17,https://twitter.com/WillRavi13/status/799341622588633088
Arumita_Mitra,11/17/16 12:00,0,0,Demonetization a direct attack on women of country,,,,,
Guitaring4All,11/17/16 11:59,0,0,I added a video to a @YouTube playlist http:// youtu.be/_2o4seknmmM?a PM Modi Media Demonetization (500 1000 Note Ban) Musical Thug Life,,@YouTube,,7.99341E+17,https://twitter.com/Guitaring4All/status/799341135000899584
Sethinomics,11/17/16 11:58,2,2,Major benefit of #demonetization . Rupee seen weathering dollar surge better than most in emerging FX http:// ecoti.in/IIxima,,,#demonetization,7.99341E+17,https://twitter.com/Sethinomics/status/799340890535796736
manoranjan2808,11/17/16 11:58,0,0,Obviously demonetization is a bold move but highly immature implementation by Modi govt. considering the impact... http:// fb.me/8sPHIox4A,,,,7.99341E+17,https://twitter.com/manoranjan2808/status/799340878707859456
